point,location,rawDate,state
853,LM4,9/14/2005 14:55,0
854,LM4,9/16/2005 22:40,1
855,LM4,9/18/2005 0:02,0
856,LM4,9/28/2005 0:15,1
857,LM4,9/28/2005 11:40,0
858,LM4,10/12/2005 17:23,1
859,LM4,10/13/2005 5:46,0
860,LM4,10/21/2005 19:02,1
861,LM4,10/22/2005 3:48,0
862,LM4,12/25/2005 6:27,0
863,LM4,1/23/2006 3:32,1
864,LM4,1/23/2006 14:33,0
865,LM4,4/7/2006 19:50,1
866,LM4,4/7/2006 22:14,0
867,LM4,4/7/2006 23:57,1
868,LM4,4/9/2006 15:58,0
869,LM4,4/13/2006 10:34,1
870,LM4,4/13/2006 11:36,0
871,LM4,4/17/2006 8:09,1
872,LM4,4/17/2006 9:20,0
873,LM4,4/17/2006 15:46,1
874,LM4,4/17/2006 18:17,0
875,LM4,4/17/2006 19:29,1
876,LM4,4/17/2006 21:08,0
877,LM4,4/19/2006 8:33,1
878,LM4,4/19/2006 20:25,0
879,LM4,6/14/2006 7:39,1
880,LM4,6/14/2006 16:13,0
881,LM4,6/15/2006 9:00,1
882,LM4,6/15/2006 15:22,0
883,LM4,7/5/2006 15:30,1
884,LM4,7/6/2006 2:51,0
885,LM4,8/29/2006 10:58,0
